Variable,FH,Cuantil,Freq_obs
S0,1,0.1,8.238568588469185
S0,1,0.2,16.986083499005964
S0,1,0.30000000000000004,26.16302186878728
S0,1,0.4,38.29821073558648
S0,1,0.5,49.92445328031809
S0,1,0.6,61.10536779324056
S0,1,0.7000000000000001,71.53081510934393
S0,1,0.8,81.74155069582505
S0,1,0.9,90.98210735586481
S0,2,0.1,8.501670112931446
S0,2,0.2,16.359153809448067
S0,2,0.30000000000000004,25.155081915062826
S0,2,0.4,37.19580085891522
S0,2,0.5,49.069508509623034
S0,2,0.6,60.34674725624304
S0,2,0.7000000000000001,71.05137585493875
S0,2,0.8,81.42993478606648
S0,2,0.9,90.74280260855734
S0,3,0.1,8.295553964845304
S0,3,0.2,16.77403960868528
S0,3,0.30000000000000004,25.24457170126461
S0,3,0.4,34.796786765290705
S0,3,0.5,48.59619820249741
S0,3,0.6,59.96182295394894
S0,3,0.7000000000000001,70.78660621967708
S0,3,0.8,81.12622285850632
S0,3,0.9,90.54322755110157
S0,4,0.1,8.431434934775691
S0,4,0.2,16.425389755011135
S0,4,0.30000000000000004,25.151129494113906
S0,4,0.4,34.77569201399937
S0,4,0.5,47.90804963410754
S0,4,0.6,59.05186127903277
S0,4,0.7000000000000001,70.48997772828508
S0,4,0.8,80.59974546611518
S0,4,0.9,90.391345847916
S0,5,0.1,8.336647840267283
S0,5,0.2,16.5937475141198
S0,5,0.30000000000000004,24.819027921406413
S0,5,0.4,34.58754275713945
S0,5,0.5,48.3652851801766
S0,5,0.6,59.438389945111766
S0,5,0.7000000000000001,70.73422957600827
S0,5,0.8,80.5425184949487
S0,5,0.9,90.23148516426697
S1,1,0.1,8.198807157057654
S1,1,0.2,16.89065606361829
S1,1,0.30000000000000004,26.07554671968191
S1,1,0.4,38.34592445328032
S1,1,0.5,50.02783300198808
S1,1,0.6,60.78727634194831
S1,1,0.7000000000000001,71.54671968190854
S1,1,0.8,81.46322067594434
S1,1,0.9,90.85487077534792
S1,2,0.1,8.517575950373788
S1,2,0.2,16.43868299665977
S1,2,0.30000000000000004,25.019882296802926
S1,2,0.4,37.39462382694449
S1,2,0.5,49.09336726578654
S1,2,0.6,60.0047717512327
S1,2,0.7000000000000001,70.75711786225544
S1,2,0.8,81.19930014315254
S1,2,0.9,90.63941466518212
S1,3,0.1,8.287600413584666
S1,3,0.2,16.710411198600177
S1,3,0.30000000000000004,25.125268432355046
S1,3,0.4,35.0274397518492
S1,3,0.5,48.580291099976144
S1,3,0.6,59.43688857074684
S1,3,0.7000000000000001,70.50823192555477
S1,3,0.8,80.77626660303827
S1,3,0.9,90.36824942336753
S1,4,0.1,8.367801463569839
S1,4,0.2,16.31403118040089
S1,4,0.30000000000000004,25.095450206808785
S1,4,0.4,34.76773783009863
S1,4,0.5,47.931912185809736
S1,4,0.6,58.90073178491887
S1,4,0.7000000000000001,70.4979319121858
S1,4,0.8,80.37702831689468
S1,4,0.9,90.33566656061089
S1,5,0.1,8.288918940418423
S1,5,0.2,16.61761196404423
S1,5,0.30000000000000004,24.84289237133084
S1,5,0.4,34.75459390661045
S1,5,0.5,48.317556280327736
S1,5,0.6,59.239519529074855
S1,5,0.7000000000000001,70.6228621430276
S1,5,0.8,80.28000954577998
S1,5,0.9,90.06443401479596
S2,1,0.1,8.238568588469185
S2,1,0.2,16.86679920477137
S2,1,0.30000000000000004,26.019880715705767
S2,1,0.4,38.48906560636183
S2,1,0.5,50.07554671968191
S2,1,0.6,60.707753479125245
S2,1,0.7000000000000001,71.53876739562625
S2,1,0.8,81.42345924453281
S2,1,0.9,90.90258449304174
S2,2,0.1,8.517575950373788
S2,2,0.2,16.51025926515031
S2,2,0.30000000000000004,25.019882296802926
S2,2,0.4,37.5536822013679
S2,2,0.5,49.10927310322889
S2,2,0.6,60.04453634483855
S2,2,0.7000000000000001,70.82074121202481
S2,2,0.8,81.10386511849849
S2,2,0.9,90.43263877843168
S2,3,0.1,8.279646862324027
S2,3,0.2,16.55134017338742
S2,3,0.30000000000000004,25.165036188658235
S2,3,0.4,36.03754076195021
S2,3,0.5,48.72345502266762
S2,3,0.6,59.643680903523425
