Variable,FH,Cuantil,Freq_obs
S0,1,0.1,10.428937703554848
S0,1,0.2,20.52525812487007
S0,1,0.30000000000000004,31.169011156538005
S0,1,0.4,41.888988982052524
S0,1,0.5,51.95759129651445
S0,1,0.6,61.39560668006375
S0,1,0.7000000000000001,70.84055159032638
S0,1,0.8,79.77271152380293
S0,1,0.9,89.43940128889197
S0,2,0.1,11.032571032571033
S0,2,0.2,20.78309078309078
S0,2,0.30000000000000004,31.864171864171865
S0,2,0.4,42.18988218988219
S0,2,0.5,52.3007623007623
S0,2,0.6,60.99792099792099
S0,2,0.7000000000000001,70.54747054747055
S0,2,0.8,79.79209979209979
S0,2,0.9,88.75259875259876
S0,3,0.1,11.248180747106522
S0,3,0.2,20.9439323584448
S0,3,0.30000000000000004,32.150530182271815
S0,3,0.4,42.92050731166401
S0,3,0.5,52.30438699840598
S0,3,0.6,61.63282278744195
S0,3,0.7000000000000001,70.57315129253587
S0,3,0.8,79.70060295238756
S0,3,0.9,88.37064245616467
S0,4,0.1,11.37371777100083
S0,4,0.2,21.326587191571946
S0,4,0.30000000000000004,32.63099528694205
S0,4,0.4,42.958136955919045
S0,4,0.5,52.34959800388134
S0,4,0.6,61.110341003604105
S0,4,0.7000000000000001,70.99390074854449
S0,4,0.8,79.65067923482117
S0,4,0.9,88.15497643471029
S0,5,0.1,11.339848894434047
S0,5,0.2,21.224093713176686
S0,5,0.30000000000000004,32.56394260761073
S0,5,0.4,43.51563041519373
S0,5,0.5,52.498786996603584
S0,5,0.6,61.606709641644144
S0,5,0.7000000000000001,71.08199902959728
S0,5,0.8,79.82255493172524
S0,5,0.9,88.14722395508421
S1,1,0.1,10.047813734321947
S1,1,0.2,20.608412445429977
S1,1,0.30000000000000004,31.18287020996466
S1,1,0.4,42.117663363592264
S1,1,0.5,52.03381609036103
S1,1,0.6,61.700505855450075
S1,1,0.7000000000000001,71.0622964451528
S1,1,0.8,79.77964105051625
S1,1,0.9,89.43247176217865
S1,2,0.1,10.887040887040888
S1,2,0.2,21.03257103257103
S1,2,0.30000000000000004,32.141372141372145
S1,2,0.4,42.6056826056826
S1,2,0.5,52.453222453222445
S1,2,0.6,61.34442134442134
S1,2,0.7000000000000001,70.67914067914069
S1,2,0.8,79.83367983367984
S1,2,0.9,88.79417879417879
S1,3,0.1,11.192736849400513
S1,3,0.2,20.784531152540023
S1,3,0.30000000000000004,32.497054542934364
S1,3,0.4,42.844271952318245
S1,3,0.5,52.72021623120106
S1,3,0.6,61.799154480559984
S1,3,0.7000000000000001,70.94046711483817
S1,3,0.8,79.61743710582854
S1,3,0.9,88.41222537944418
S1,4,0.1,11.221236484613252
S1,4,0.2,21.264208483504294
S1,4,0.30000000000000004,32.79040754089271
S1,4,0.4,43.08982533961741
S1,4,0.5,52.328805101192124
S1,4,0.6,61.373717771000834
S1,4,0.7000000000000001,70.99390074854449
S1,4,0.8,79.5744385916274
S1,4,0.9,88.10645966176878
S1,5,0.1,11.277465862618701
S1,5,0.2,21.016150273792196
S1,5,0.30000000000000004,32.82733763083108
S1,5,0.4,43.64039647882443
S1,5,0.5,52.55423858043945
S1,5,0.6,61.73147570527483
S1,5,0.7000000000000001,71.1582449573716
S1,5,0.8,79.718583212033
S1,5,0.9,88.23733277881749
S2,1,0.1,10.151756635021828
