Variable,FH,Cuantil,Freq_obs
S0,1,0.1,9.756437992881569
S0,1,0.2,19.366320050247747
S0,1,0.30000000000000004,29.471700746737383
S0,1,0.4,40.63786726219555
S0,1,0.5,52.19484960569475
S0,1,0.6,62.551469048782195
S0,1,0.7000000000000001,72.4614418312513
S0,1,0.8,81.79216972573103
S0,1,0.9,90.82978574917998
S0,2,0.1,9.840871021775545
S0,2,0.2,19.577051926298157
S0,2,0.30000000000000004,29.745951982132883
S0,2,0.4,40.29871580122836
S0,2,0.5,52.352037967615864
S0,2,0.6,62.730318257956455
S0,2,0.7000000000000001,71.96398659966499
S0,2,0.8,81.33724176437744
S0,2,0.9,90.18006700167504
S0,3,0.1,9.946255322119075
S0,3,0.2,19.89251064423815
S0,3,0.30000000000000004,29.580512319396945
S0,3,0.4,39.701263348921614
S0,3,0.5,51.259859007468414
S0,3,0.6,61.88315767432121
S0,3,0.7000000000000001,71.75263488518182
S0,3,0.8,81.22426188315768
S0,3,0.9,90.40273609269211
S0,4,0.1,10.051654334775932
S0,4,0.2,19.94974172832612
S0,4,0.30000000000000004,29.764065335753177
S0,4,0.4,39.850621248080415
S0,4,0.5,51.284378053888034
S0,4,0.6,61.985201731118245
S0,4,0.7000000000000001,71.86932849364791
S0,4,0.8,81.02750244311044
S0,4,0.9,90.20661733910373
S0,5,0.1,10.366492146596858
S0,5,0.2,19.67888307155323
S0,5,0.30000000000000004,30.02443280977312
S0,5,0.4,39.504363001745205
S0,5,0.5,51.162303664921474
S0,5,0.6,61.717277486910994
S0,5,0.7000000000000001,71.97207678883072
S0,5,0.8,81.33333333333333
S0,5,0.9,89.84293193717278
S1,1,0.1,9.526135808500245
S1,1,0.2,19.401214320608556
S1,1,0.30000000000000004,29.485658454881708
S1,1,0.4,40.721613511061484
S1,1,0.5,51.95756856724126
S1,1,0.6,62.59334217321516
S1,1,0.7000000000000001,72.19624537650918
S1,1,0.8,81.56186754134971
S1,1,0.9,90.54365273222137
S1,2,0.1,9.798994974874372
S1,2,0.2,19.37465103294249
S1,2,0.30000000000000004,30.073981016192068
S1,2,0.4,40.60580681183696
S1,2,0.5,52.42183137911781
S1,2,0.6,62.73729759910665
S1,2,0.7000000000000001,71.7964824120603
S1,2,0.8,81.05108877721943
S1,2,0.9,90.15214963707426
S1,3,0.1,10.064912403154883
S1,3,0.2,19.906470300830602
S1,3,0.30000000000000004,29.69916940043275
S1,3,0.4,40.01535562225169
S1,3,0.5,51.38549591680045
S1,3,0.6,62.11349200809661
S1,3,0.7000000000000001,71.65491728903469
S1,3,0.8,81.00090737767852
S1,3,0.9,90.33991763802611
S1,4,0.1,9.926008655591232
S1,4,0.2,19.94974172832612
S1,4,0.30000000000000004,29.966494485550747
S1,4,0.4,39.89250314114198
S1,4,0.5,51.18665363674438
S1,4,0.6,61.964260784587466
S1,4,0.7000000000000001,71.93913164875052
S1,4,0.8,80.83903392433338
S1,4,0.9,90.14379449951137
S1,5,0.1,10.268760907504362
S1,5,0.2,19.930191972076788
S1,5,0.30000000000000004,30.143106457242585
S1,5,0.4,39.6369982547993
S1,5,0.5,51.162303664921474
S1,5,0.6,61.77312390924956
S1,5,0.7000000000000001,72.04188481675394
S1,5,0.8,81.11692844677137
S1,5,0.9,89.8848167539267
S2,1,0.1,9.721543722520762
S2,1,0.2,19.247679531021006
S2,1,0.30000000000000004,29.325144811222
S2,1,0.4,40.76348663549445
S2,1,0.5,52.11808221090097
S2,1,0.6,62.586363319143004
S2,1,0.7000000000000001,72.37071672831321
S2,1,0.8,81.2547979621746
S2,1,0.9,90.69718752180891
S2,2,0.1,9.826912339475154
S2,2,0.2,19.15131211613624
S2,2,0.30000000000000004,29.90647682858738
S2,2,0.4,40.857063093244
S2,2,0.5,52.82663316582915
S2,2,0.6,62.88386376326075
S2,2,0.7000000000000001,71.98492462311557
S2,2,0.8,80.98129536571747
S2,2,0.9,89.9218313791178
S2,3,0.1,9.890416695749286
S2,3,0.2,19.878550987645703
S2,3,0.30000000000000004,29.573532491100718
S2,3,0.4,40.2805890975082
S2,3,0.5,51.734487331611646
S2,3,0.6,62.497382564388914
S2,3,0.7000000000000001,71.95504990577231
S2,3,0.8,80.91016960982759
S2,3,0.9,90.10958330425072
S2,4,0.1,9.807343291916796
S2,4,0.2,19.838056680161944
S2,4,0.30000000000000004,30.03629764065336
S2,4,0.4,40.17869607706268
S2,4,0.5,51.49378751919586
S2,4,0.6,62.187630880915826
S2,4,0.7000000000000001,72.0159151193634
S2,4,0.8,80.95071897249755
S2,4,0.9,90.04607008236772
S2,5,0.1,10.240837696335078
S2,5,0.2,19.86038394415358
S2,5,0.30000000000000004,30.045375218150088
S2,5,0.4,39.68586387434555
S2,5,0.5,51.46247818499128
S2,5,0.6,62.066317626527045
S2,5,0.7000000000000001,71.88830715532286
S2,5,0.8,81.03315881326353
S2,5,0.9,89.76614310645724
S3,1,0.1,10.000697885407215
S3,1,0.2,19.352362342103426
S3,1,0.30000000000000004,29.43680647637658
S3,1,0.4,40.986809965803616
S3,1,0.5,52.222765021983385
S3,1,0.6,62.80968664945215
S3,1,0.7000000000000001,72.6079977667667
S3,1,0.8,81.41531160583432
