Variable,FH,Cuantil,Freq_obs
S0,1,0.1,8.677408526351124
S0,1,0.2,18.387042631755623
S0,1,0.30000000000000004,28.306478684122187
S0,1,0.4,39.72809667673716
S0,1,0.5,52.89526686807654
S0,1,0.6,64.15743538100034
S0,1,0.7000000000000001,74.44612286002014
S0,1,0.8,83.2074521651561
S0,1,0.9,91.8429003021148
S0,2,0.1,8.694922366764581
S0,2,0.2,18.29626521191775
S0,2,0.30000000000000004,28.736886277801094
S0,2,0.4,39.62232480067142
S0,2,0.5,52.152748636172895
S0,2,0.6,63.759966428871174
S0,2,0.7000000000000001,73.88166177087705
S0,2,0.8,83.13050776332355
S0,2,0.9,92.00167855644146
S0,3,0.1,8.435454087628
S0,3,0.2,18.47406412623804
S0,3,0.30000000000000004,28.39516535168709
S0,3,0.4,38.710760449890884
S0,3,0.5,50.50360919926137
S0,3,0.6,62.749706227967096
S0,3,0.7000000000000001,73.36746684572772
S0,3,0.8,83.27178109786806
S0,3,0.9,91.95903978512673
S0,4,0.1,8.385797028456308
S0,4,0.2,18.274154285234616
S0,4,0.30000000000000004,28.288424410308068
S0,4,0.4,38.02568622513221
S0,4,0.5,49.22353731217997
S0,4,0.6,62.03307311340552
S0,4,0.7000000000000001,72.63493662385629
S0,4,0.8,82.78351380844455
S0,4,0.9,91.76529841349786
S0,5,0.1,8.369711215580928
S0,5,0.2,17.990261920752182
S0,5,0.30000000000000004,27.7367360644728
S0,5,0.4,37.508394895903294
S0,5,0.5,48.530893216924106
S0,5,0.6,61.52619207521827
S0,5,0.7000000000000001,72.68300873069174
S0,5,0.8,82.63096037609134
S0,5,0.9,91.52115513767629
S1,1,0.1,8.627056059080228
S1,1,0.2,18.521315877811347
S1,1,0.30000000000000004,28.759650889560255
S1,1,0.4,39.660960053709296
S1,1,0.5,52.58475998657267
S1,1,0.6,64.32527693856998
S1,1,0.7000000000000001,74.33702584759988
S1,1,0.8,83.02282645182947
S1,1,0.9,91.83450822423632
S1,2,0.1,8.812421317666805
S1,2,0.2,18.707511540075537
S1,2,0.30000000000000004,28.896349139739826
S1,2,0.4,39.75660931598825
S1,2,0.5,51.78346621905161
S1,2,0.6,63.60889634913974
